"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0500000US06075","San Francisco County, California","363970","1953","139057","2183","224913","2332",
"0500000US06077","San Joaquin County, California","245250","1175","152030","2143","93220","1639",
"0500000US06079","San Luis Obispo County, California","109503","968","67986","1080","41517","1182",
"0500000US06081","San Mateo County, California","264419","1253","154607","1889","109812","1879",
"0500000US06083","Santa Barbara County, California","149608","835","78344","1317","71264","1376",
"0500000US06085","Santa Clara County, California","659353","1829","363147","3294","296206","3317",
"0500000US06087","Santa Cruz County, California","96898","687","58079","1134","38819","1148",
"0500000US06089","Shasta County, California","71232","703","46694","996","24538","1036",
"0500000US06091","Sierra County, California","1219","153","879","154","340","123",
"0500000US06093","Siskiyou County, California","19079","344","13203","523","5876","407",
"0500000US06095","Solano County, California","157512","751","99263","1381","58249","1432",
"0500000US06097","Sonoma County, California","190998","984","119598","1666","71400","1708",
"0500000US06099","Stanislaus County, California","177874","777","108828","1753","69046","1789",
"0500000US06101","Sutter County, California","33292","325","20417","730","12875","695",
"0500000US06103","Tehama County, California","24788","471","16640","628","8148","631",
"0500000US06105","Trinity County, California","5585","264","4006","398","1579","346",
"0500000US06107","Tulare County, California","143195","754","83701","1772","59494","1644",
"0500000US06109","Tuolumne County, California","22690","468","16771","581","5919","619",
"0500000US06111","Ventura County, California","280360","1038","181039","2078","99321","1901",
"0500000US06113","Yolo County, California","76693","669","41637","976","35056","1059",
"0500000US06115","Yuba County, California","28635","382","18182","746","10453","704",
"0500000US08001","Adams County, Colorado","188730","791","129415","1581","59315","1539",
"0500000US08003","Alamosa County, Colorado","6648","174","3719","299","2929","336",
"0500000US08005","Arapahoe County, Colorado","257232","1096","166534","2086","90698","1957",
"0500000US08007","Archuleta County, Colorado","5921","348","4741","321","1180","223",
"0500000US08009","Baca County, Colorado","1657","65","1185","95","472","85",
"0500000US08011","Bent County, Colorado","1875","105","1222","132","653","121",
"0500000US08013","Boulder County, Colorado","137008","795","84900","1232","52108","1344",
"0500000US08014","Broomfield County, Colorado","31760","310","19925","522","11835","479",
"0500000US08015","Chaffee County, Colorado","9863","226","7311","357","2552","355",
"0500000US08017","Cheyenne County, Colorado","785","82","570","77","215","75",
"0500000US08019","Clear Creek County, Colorado","4677","271","3817","265","860","192",
"0500000US08021","Conejos County, Colorado","3164","154","2421","128","743","155",
"0500000US08023","Costilla County, Colorado","1651","111","1305","110","346","84",
"0500000US08025","Crowley County, Colorado","1337","77","929","100","408","90",
"0500000US08027","Custer County, Colorado","2672","177","2280","171","392","114",
"0500000US08029","Delta County, Colorado","12959","333","10100","364","2859","393",
"0500000US08031","Denver County, Colorado","335428","1490","163555","2609","171873","2647",
"0500000US08033","Dolores County, Colorado","1254","96","1020","117","234","98",
"0500000US08035","Douglas County, Colorado","139960","642","108309","1145","31651","1168",
"0500000US08037","Eagle County, Colorado","22058","525","14545","634","7513","670",
"0500000US08039","Elbert County, Colorado","10004","156","9507","179","497","105",
"0500000US08041","El Paso County, Colorado","290190","1184","192232","1990","97958","1866",
"0500000US08043","Fremont County, Colorado","17976","411","13595","460","4381","465",
"0500000US08045","Garfield County, Colorado","23404","338","16292","577","7112","563",
"0500000US08047","Gilpin County, Colorado","3122","206","2732","255","390","153",
"0500000US08049","Grand County, Colorado","7475","450","5489","303","1986","418",
"0500000US08051","Gunnison County, Colorado","8494","269","5673","416","2821","446",
"0500000US08053","Hinsdale County, Colorado","511","71","389","67","122","64",
"0500000US08055","Huerfano County, Colorado","3100","214","2328","176","772","180",
"0500000US08057","Jackson County, Colorado","658","77","468","78","190","74",
"0500000US08059","Jefferson County, Colorado","241735","959","170969","1557","70766","1498",
"0500000US08061","Kiowa County, Colorado","585","70","402","61","183","56",
"0500000US08063","Kit Carson County, Colorado","2896","136","2103","142","793","188",
"0500000US08065","Lake County, Colorado","3020","283","2284","228","736","214",
"0500000US08067","La Plata County, Colorado","24378","505","17292","597","7086","559",
"0500000US08069","Larimer County, Colorado","154232","780","98737","1226","55495","1213",
"0500000US08071","Las Animas County, Colorado","6513","230","4466","207","2047","228",
"0500000US08073","Lincoln County, Colorado","1971","93","1414","118","557","90",
"0500000US08075","Logan County, Colorado","8203","201","5439","310","2764","311",
"0500000US08077","Mesa County, Colorado","65830","622","47707","879","18123","872",
"0500000US08079","Mineral County, Colorado","386","61","269","50","117","51",
"0500000US08081","Moffat County, Colorado","5390","190","3738","288","1652","318",
"0500000US08083","Montezuma County, Colorado","11269","262","8591","401","2678","374",
"0500000US08085","Montrose County, Colorado","18069","369","13623","474","4446","438",
"0500000US08087","Morgan County, Colorado","11069","220","7453","353","3616","314",
"0500000US08089","Otero County, Colorado","7584","236","5229","297","2355","281",
"0500000US08091","Ouray County, Colorado","2623","167","2165","165","458","124",
"0500000US08093","Park County, Colorado","8988","358","7750","357","1238","298",
"0500000US08095","Phillips County, Colorado","1952","151","1403","145","549","137",
"0500000US08097","Pitkin County, Colorado","9215","476","5790","427","3425","496",
"0500000US08099","Prowers County, Colorado","4733","179","3176","183","1557","218",
"0500000US08101","Pueblo County, Colorado","68523","559","47199","859","21324","882",
"0500000US08103","Rio Blanco County, Colorado","2805","159","2084","189","721","191",
"0500000US08105","Rio Grande County, Colorado","5133","227","3444","248","1689","280",
"0500000US08107","Routt County, Colorado","11281","362","8573","376","2708","347",
